#,Groupe,Style,Pays,Info Supplémentaire,Url d'écoute,URL pochette
3,Rancid,Punk,USA,,https://www.metalorgie.com/news/168411_Rancid-lache-Don-t-Make-Me-Do-It-Tomorrow-Never-Comes-sort-le-2-juin,https://is5-ssl.mzstatic.com/image/thumb/Music126/v4/1f/5b/86/1f5b86c1-28bc-a80c-378a-a7118d7eff65/0045778777365.png/1200x1200bf-60.jpg
,Red Cain,Prog / Groove Metal,Canada,,http://redcain.bandcamp.com/,https://f4.bcbits.com/img/a0029820927_10.jpg
,Rival Sons,Rock,USA,,https://www.metalorgie.com/news/166980_Rival-Sons-Hard-Rock-Blues-Rock-US-sortira-son-prochain-disque-Darkfighter-le-2-juin-chez,"https://m.media-amazon.com/images/I/71A-R5K-1uL._UF894,1000_QL80_.jpg"
,Saint Karloff,Stoner / Rock,Norvège,,https://saintkarloff.bandcamp.com/album/paleolithic-war-crimes,https://f4.bcbits.com/img/a2399735097_10.jpg
,Sapremia,Death Metal,USA,,https://awakeningrecordscn.bandcamp.com/album/subconscious-existence,https://f4.bcbits.com/img/a0415887310_10.jpg
,Scarnival,Death Melo,Allemagne,,https://scarnival-kkr.bandcamp.com/album/the-hell-within,https://f4.bcbits.com/img/a1357539082_10.jpg
,Spy,Hardcore,USA,,https://bbbrecords.bandcamp.com/album/satisfaction,https://f4.bcbits.com/img/a1890814079_10.jpg
,Thantifaxath,Black Metal,Canada,,https://darkdescentrecords.bandcamp.com/album/hive-mind-narcosis,https://f4.bcbits.com/img/a3502633251_10.jpg
,The Kryptik   ,Black Metal,Brésil,,https://www.youtube.com/watch?v=KNRWUH0i0gw,https://www.lycanthropia.net/images/albums/the-kryptik-a-journey-to-the-darkest-kingdom.jpg
,This White Mountain,Black Metal,USA,,http://thiswhitemountain.bandcamp.com,https://f4.bcbits.com/img/a2580487731_10.jpg
,Thorium,Heavy / Power Metal,Belgique,,https://thoriumband.bandcamp.com/,https://f4.bcbits.com/img/a1813385992_10.jpg
,Thunraz,Death Metal,Estonie,,https://thunraz.bandcamp.com/album/revelation,https://f4.bcbits.com/img/a0094122882_10.jpg
,Tigercub,Rock,UK,,https://www.youtube.com/watch?v=IqYerHN1PS8,https://www.normanrecords.com/artwork/large/173/196423-tigercub-the-perfume-of-decay.jpg
,To Descend,Grindcore,Suède,Un EP,https://hpgd.bandcamp.com/album/mindless-birth,https://f4.bcbits.com/img/a2282247845_10.jpg
,Tombstalker,Death Metal,USA,,https://borisrecords.bandcamp.com/album/age-of-darkness,https://f4.bcbits.com/img/a3723904820_10.jpg
,Trollwald,Folk / Stoner,Biélorussie,,http://trollwald.bandcamp.com/,https://f4.bcbits.com/img/a1093614878_10.jpg
,Unfurl,Post Hardcore / Black Metal,USA,,https://vnfvrl.bandcamp.com/album/ascension,https://f4.bcbits.com/img/a2844293711_10.jpg
,Vide,Black Metal,USA,,https://blackvide.bandcamp.com/releases,https://f4.bcbits.com/img/a2780527380_10.jpg
,Void ov Nihility,Death / Black Metal,USA,,https://voidovnihility.bandcamp.com/,https://f4.bcbits.com/img/a3626740734_10.jpg
,Weep,Screamo / Black Metal,USA,,https://weep.bandcamp.com/album/life-in-shades-of-grey,https://f4.bcbits.com/img/a0563568546_10.jpg
,World I Hate,Powerviolence / Hardcore,USA,,https://worldihate.bandcamp.com/album/years-of-lead,https://f4.bcbits.com/img/a3897003882_10.jpg
,Writing The Future,Metalcore,Suède,,https://www.facebook.com/writingthefuture/posts/pfbid0c6wradm5nSVUFh1uWrYZsaSkC3PAHzmWD3HinSav6z3qxrVrk7Wqaiu66CgXNmd2l?__cft__[0]=AZVhHZPDiraXCj1JcD94Y9fk1One-X5ldVMYaAmbmzWS-rHH9DjFVF-Xc4t_YgcQqJXtja5QgUSz40ypOVXFiI8R0qpZ1tyE0sWWwAZdrdaVy0WoJUKMb1q_PbSaoaXiCndh66ZuUG5f2ENXTkJfe4xPOpqSpF6THTf5HjlowztMYAaI1sws5ZETaBVZDmFTlNg&__tn__=%2CO%2CP-R,https://scontent-cdg4-3.xx.fbcdn.net/v/t39.30808-6/346040817_653185783312394_5529041102583386096_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=x6Ao7TrMe-IAX_nqlKV&_nc_ht=scontent-cdg4-3.xx&oh=00_AfBVPssii9dmfHohfZnAL5ChlAnl_NMtfBZlSuag2_ryOA&oe=647D5752
,Wytch Hazel,Hard Rock / Heavy Metal,UK,,https://www.metalorgie.com/news/168618_Wytch-Hazel-devoile-Strong-Heart-IV-Sacrament-sort-chez-Metal-Blade-le-2-juin,https://f4.bcbits.com/img/a2517776311_10.jpg
,Loud Anonymity,Neo / Alt Metal,France,,https://youtu.be/LlDQ9mSj-mU,https://scontent-cdg4-3.xx.fbcdn.net/v/t39.30808-6/327151873_5310622532371158_3829308587742121062_n.jpg?stp=cp6_dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=mgIrFWV8JRYAX8FSxPA&_nc_ht=scontent-cdg4-3.xx&oh=00_AfBOmnpg6jcQffG6mT1Acb5zfpxG6T4Hp7RDYMJcGKOHGA&oe=647E90E7
